family,n,pathwidth,future_classes,slw,query
clique-parity,4,3,2,1,parity
path-index,4,1,16,4,indexed-bit
clique-parity,8,7,2,1,parity
path-index,8,1,256,8,indexed-bit
clique-parity,12,11,2,1,parity
path-index,12,1,4096,12,indexed-bit
clique-parity,16,15,2,1,parity
path-index,16,1,65536,16,indexed-bit
clique-parity,20,19,2,1,parity
path-index,20,1,1048576,20,indexed-bit
clique-parity,24,23,2,1,parity
path-index,24,1,16777216,24,indexed-bit
